time,"ADC0","ADC1"
"2018-09-24 12:18:44.394655",1332,1339,
"2018-09-24 12:19:47.569235",1332,1339,
"2018-09-24 12:20:56.378408",1332,1339,
"2018-09-24 12:25:56.418944",1333,1339,
"2018-09-24 12:30:56.479082",1333,1339,
"2018-09-24 12:35:56.496859",1333,1339,
"2018-09-24 12:40:56.585869",1333,1339,
"2018-09-24 12:45:56.662703",1333,1339,
"2018-09-24 12:50:56.733072",1333,1339,
"2018-09-24 12:55:56.840571",1333,1339,
"2018-09-24 13:00:56.939383",1333,1339,
"2018-09-24 13:05:55.992811",1333,1339,
"2018-09-24 13:10:56.050292",1333,1339,
"2018-09-24 13:15:56.112865",1333,1339,
"2018-09-24 13:20:56.272185",1333,1339,
"2018-09-24 13:25:56.350398",1333,1339,
"2018-09-24 13:30:56.405198",1333,1339,
"2018-09-24 13:35:56.495888",1333,1339,
"2018-09-24 13:40:56.556433",1333,1339,
"2018-09-24 13:45:56.637772",1333,1339,
"2018-09-24 13:50:56.717859",1333,1339,
"2018-09-24 13:55:56.860154",1333,1339,
"2018-09-24 14:00:56.995471",1333,1339,
"2018-09-24 14:05:56.076579",1333,1339,
"2018-09-24 14:10:56.131030",1333,1339,
"2018-09-24 14:15:56.254345",1333,1339,
"2018-09-24 14:20:56.465212",1333,1340,
"2018-09-24 14:25:56.567639",1333,1340,
"2018-09-24 14:30:56.601729",1333,1340,
"2018-09-24 14:35:56.680245",1334,1340,
"2018-09-24 14:40:56.752788",1334,1340,
"2018-09-24 14:45:56.798738",1334,1340,
"2018-09-24 14:50:56.834813",1334,1340,
"2018-09-24 14:55:56.925680",1334,1340,
"2018-09-24 15:00:56.006779",1334,1340,
"2018-09-24 15:05:56.118129",1334,1340,
"2018-09-24 15:10:56.174265",1334,1340,
"2018-09-24 15:15:56.240351",1334,1340,
"2018-09-24 15:20:56.473149",1334,1340,
"2018-09-24 15:25:56.538733",1334,1340,
"2018-09-24 15:30:56.590170",1335,1341,
"2018-09-24 15:35:56.648080",1334,1340,
"2018-09-24 15:40:56.726863",1334,1340,
"2018-09-24 15:45:56.786354",1334,1340,
"2018-09-24 15:50:56.858815",1334,1340,
"2018-09-24 15:55:56.954321",1334,1340,
"2018-09-24 16:00:56.060478",1334,1340,
"2018-09-24 16:05:56.128015",1334,1341,
"2018-09-24 16:10:56.191593",1334,1341,
"2018-09-24 16:15:56.260198",1334,1341,
"2018-09-24 16:20:56.486355",1334,1341,
"2018-09-24 16:25:56.568061",1335,1341,
"2018-09-24 16:30:56.652991",1335,1341,
"2018-09-24 16:35:56.690431",1335,1341,
"2018-09-24 16:40:56.761786",1335,1341,
"2018-09-24 16:45:56.859425",1335,1341,
"2018-09-24 16:50:56.937820",1335,1341,
"2018-09-24 16:55:56.006404",1335,1341,
"2018-09-24 17:00:56.092995",1335,1341,
"2018-09-24 17:05:56.124659",1335,1341,
"2018-09-24 17:10:56.172411",1335,1341,
"2018-09-24 17:15:56.276930",1335,1341,
"2018-09-24 17:20:56.490377",1335,1341,
"2018-09-24 17:25:56.592336",1335,1341,
"2018-09-24 17:30:56.623246",1335,1341,
"2018-09-24 17:35:56.732061",1335,1341,
"2018-09-24 17:40:56.798930",1335,1341,
"2018-09-24 17:45:56.824768",1335,1341,
